English,Igbo
thirty,iri ato
justify,ikwu ihe mkpata
protest,nkwugide
crash,okuku
craft,oru oru
treaty,treti
terrorist,onyemmenyeujo nwanyi
insight,anya okenya
possess,jide
politically,Ndi ndọrọ ndọrọ ọchịchị
tap,mmigbu
extensive,kennukwu
episode,ihe omume
swim,gwuo
tire,ngwumike
fault,nsogbu
loose,keesighi ike
shortly,n'oge na-adịghị anya
originally,nambido
considerable,kennukwu
prior,tupu ihe emee
intellectual,onye amamiihe
assault,ogu mberede
relax,Zuo ike
stair,flaali
adventure,njem
external,keezi
proof,ngosi edemede
confident,keokwukwe
headquarters,hedikwotaas
sudden,nke mberede
dirty,unyi
violation,nnupuisi
tongue,ire
license,inye ike
shelter,izobe
rub,tee
controversy,mgbagha
entrance,Ụzọ mbata
properly,nke ọma
fade,ichabo
defensive,nzere
tragedy,trajidi
net,ugbu
characterize,keariri
funeral,akwamozu
profession,aka oru
alter,igbanwe
constitute,keeisi
establishment,oruru
squeeze,ipiakota
imagination,enyouche
mask,mkpu
convert,itughari
comprehensive,keukwu
prominent,nke puru iche
presentation,inye onyinye
regardless,otu obula osiri di
load,ibu
stable,uloumuaanu
introduction,ndubata
pretend,nghogbu
elderly,ndị okenye
representation,nnochi
deer,diya
split,Kewaa
violate,inupuisi
partnership,nrukooru
pollution,mmebie
emission,oge obula
steady,onodu nguzosi
vital,dimkpa
fate,akaraaka
earnings,azuta ego
oven,oven
distinction,mpuruiche
segment,nke
nowhere,enweghi ebe
poet,onye abu nwoke
mere,slar
exciting,amaghi ka odi
variation,mgbanwe
radical,radikal
adapt,imeghari
Irish,Nke Irish
honey,mmanu anu
correspondent,onye mmekorita
pale,icha mmirimmiri
musician,onyeegwu
significance,mpka
vessel,nkwari
storage,storaji
flee,igbapu
mm-hmm,mm-hmm
leather,leda
distribute,ikesa
evolution,mbido
ill,keoria
tribe,ikwu
shelf,uko
grandfather,nna nna
lawn,ahihia
buyer,ozu ahia
dining,eri nri
wisdom,amamihe
council,kansul
vulnerable,volnarebul
instance,omuma
garlic,galiki
capability,ikike
poetry,abu
celebrity,emume
gradually,nwayo nwayo
stability,stebul
fantasy,nruro efu
scared,itu egwu
plot,ala ulo
framework,igba
gesture,ihe ahu ekwu ekwu
depending,ekwenye
ongoing,na-aga n'ihu
psychology,pchcholog
counselor,kanselo
chapter,isi
divorce,igba alukwaghim
pipe,paipu
athletic,ase
slight,obere
math,ebere
shade,ndo
tail,odudu
sustain,sosten
mount,ugwu
obligation,njikotara
angle,n'akuku
palm,oboaka
differ,iche
custom,omenaala
economist,onu akụ
fifteen,iri na ise
soup,ofe
celebration,emume omumu
efficient,oru oma
composition,njikọta
satisfy,juafo
pile,mbukota nku
briefly,na nke
carbon,kabon
closer,adiru nso
consume,na-eri
scheme,mmebe
crack,mgbape
frequency,mgbe na mgbe
tobacco,tobacco
survivor,nwanyi nwuforo
besides,ewepu
psychologist,keamume
wealthy,keaku
galaxy,Galaxy
given,inye
ski,skai
limitation,mmachi
trace,trace
appointment,oru
preference,ihe achoro
meter,mita
explosion,mgbawa
publicly,n'ihu oha
incredible,keekweghikwe
fighter,ugboelu agha
rapid,ngwangwa
admission,nnabata
hunter,ochu nta
educate,imuta
painful,mgbu
friendship,oyi
aide,onye mnyemaka
infant,obere nwa
calculate,igbako
fifty,iri ise
rid,isichapu
porch,pochi
tendency,tendensi
uniform,mbonotu
formation,isodi
scholarship,egoenyemaka iguakwukwo
reservation,resaveshion
efficiency,oru oma
qualify,tozuo
mall,nnukwu ụlọ ahịa
derive,iri nri
scandal,nkwuto
PC,Plus
helpful,keenweghi enyemaka
impress,ime mmasi
heel,ichiri ukwu
resemble,iyieyi
privacy,nke onye
fabric,akwa
contest,zoo
proportion,nkeputa
guideline,nrube iwu
rifle,egbe nta
maintenance,nlekwa anya
conviction,omuma ikpe
trick,ughoro
organic,Organic
tent,tent
examination,ule
publisher,akwukwo maka ogugu
strengthen,igbaume
proposed,aro
myth,ifuru
sophisticated,ọkaibe
cow,ehi
etc,wdg
standing,iguzo
asleep,n'ura
tennis,tenis
nerve,akwara
barrel,bareelu
bombing,bombu
membership,onye otu
ratio,rashio
menu,nri enwere
controversial,enweghi esemokwu
desperate,nchun'oku
lifestyle,ndu
humor,mmeochi
loud,keuzu
glove,gloovu
sufficient,nke ojuju
narrative,ịkọ
photographer,onye na-ese foto
helicopter,helikopta
modest,obi umeala
provider,onye na-eweta
delay,idilee
agricultural,keugbo
explode,igbawa
stroke,strokal
scope,oke
punishment,ahuhu
handful,kejuru aka
badly,ajo
horizon,horaizin
curious,kemmasi
downtown,mgbada mgbada
girlfriend,enyi nwaanyi
prompt,n'oge
cholesterol,cholesterol
absorb,banye
adjustment,mmezi
taxpayer,onye na-atụ ụtụ
eager,nchoro
principal,nke isi
detailed,kemmeputa
motivation,ihena-eme ihe emetu ukporo
assignment,olu e nyere
restriction,mgbochi
laboratory,laabu
workshop,ulooru
differently,icheiche
auto,uto
romantic,nke ufere
cotton,kotin
motor,moto
sue,ikuikpe
flavor,ekpomeekpo
overlook,lefuo
float,ise n'elu
undergo,na -aga
sequence,nsoje
demonstration,ngosiputa
jet,jeeti
orange,oroma
consumption,oriri
assert,ikwuputa
blade,bleedi
temporary,keadighideghi
medication,keogoghimme
cabin,kabin
bite,ita aru
edition,mbiputa
valley,ndagwurugwu
yours,nke gi
pitch,okwa olu
pine,paini
brilliant,amamiihe
versus,vesos
manufacturing,imeputa
absolute,kpochapu
chef,osiriri
discrimination,mkpaoke
offensive,imenjo
boom,buru ibu
register,ndeko aha
appoint,inye
heritage,ihe ojoo
God,Chukwu
dominant,mkpakoro
successfully,nke ọma
shit,shiit
lemon,oroma nkịrịsị
hungry,keaguu
wander,wonda
submit,irubeisi
economics,akuakwa ihe
naked,oto
anticipate,itu anya
nut,aku
legacy,leta
extension,mgbati
shrug,shrug
battery,batiri
arrival,nlota
legitimate,keodiniiwu
orientation,ndoputa
inflation,onu oriri
cope,ịnagide
flame,oku
cluster,ụyọkọ
wound,onya
dependent,ndabere
shower,mmiriozuzo
institutional,ulo akwukwo
depict,gosiri
operating,oru otutu
flesh,anuahu
garage,garaji
operator,opereto
collapse,ida
borrow,ibiri
furthermore,ozoro
comedy,ntochi
mortgage,igba ibe
sanction,saukshion
civilian,ndi nkiti
twelve,iri na abuo
weekly,kwa wiik
habitat,biri
grain,mkpururu
brush,isa onu
consciousness,nlezi anya
devote,itinye
measurement,mmesho
province,ngalaba ochichi
ease,mfe
seize,donara
ethics,ethrics
nomination,mma
permission,inara ike
wise,keamamihe
actress,omee
summit,somiit
acid,asiidi
odds,nguzo
gifted,keofu
frustration,odida mba
medium,keusoro
physically,nke anụ ahụ
distinguish,ichiputa adimiiche
shore,onummiri
repeatedly,ugboro ugboro
lung,nkuume
running,igbaoso
distinct,keniche
artistic,kenka
discourse,mkwuputa obi
basket,nkata
ah,kee
fighting,ibuso agha
impressive,kemmasi
competitor,onye osompi
ugly,kenjo
worried,keechiche
portray,ziputa
powder,nzu otite
ghost,mmuo
persuade,gbanwee ya obi
moderate,imeihenokara
subsequent,nkeso
continued,Nọgide
cookie,kuki
carrier,onye bu oria ofufe
cooking,esi nri
frequent,kemgbe na mgbe
ban,igbochi
awful,ke egwu
admire,imasi
pet,peti
miracle,ihebube
exceed,ikari
rhythm,ahiriuda
widespread,kemgbasa
killing,igbu
lovely,keoma
sin,meenjo
charity,ebere
script,edemede
tactic,kenkwucha
identification,nrugosi
transformation,mgbanwe
everyday,kwa ụbọchị
headline,isiokwu
venture,iku
invasion,mbuso agha
nonetheless,keodino
adequate,kezuru oke
piano,piano
grocery,rikori
intensity,osisi ike
exhibit,izuputa
blanket,blankeeti
margin,mmiri
quarterback,n'azu uzo
mouse,òké
rope,eriri
concrete,ihe
prescription,ima iwu
African-American,African-American
chase,ichu oso
brick,biriiki
recruit,wee n'oru
patch,kwachie
consensus,njeghari
horror,egwu
recording,ideputa abu
changing,igbanwe
painter,nwaanyi oteagba
colonial,ochichinwansi
pie,pai
sake,sia
gaze,lea
courage,obi
pregnancy,afo ime
swear,ibuonu
defeat,imeri
clue,aidia
reinforce,inyekwu ike
confusion,mmesa anya
slice,iberi
occupation,akaora
dear,nke oma
coal,unyi
sacred,saweni
formula,fomula
cognitive,uta mara nma
collective,mkpokota
exact,kpom kwem
uncle,nwanne nwoke nna
captain,onya ugbo
sigh,itaghari
attribute,kee
dare,nwaaibe
homeless,enweghi ulo
gallery,galari
soccer,egwuregwuboolu
defendant,onye eboro ebube
tunnel,tonel
fitness,mma
lap,mpara ukwu
grave,laili
toe,mkpisi ukwu
container,akpati
virtue,agwaoma
abroad,ofesi
architect,akitekiti
dramatically,nke ukwuu
makeup,Techaa
inquiry,njuputa
rose,okookoosisi rosu
surprisingly,keihu
highlight,mee ka ọ pụta ìhè
decrease,iwedata
indication,ngosi
rail,okporo uzo ugboigwe
anniversary,emume ncheta
couch,ndina
alliance,mmekorita
hypothesis,hypothesis
boyfriend,enyi nwoke
compose,ideputa
mess,ozinjo
legend,akuko ndiichie
regulate,imezi
adolescent,nwaada
shine,onwunwu
norm,ndokwa
upset,bilie dị njikere
remark,remaaki
resign,ikwusioru
reward,ugwo
gentle,keumeala
related,agukorita
organ,ogan ahu
lightly,nke aghaghi ime
concerning,na mgbasa
invent,cheputa
laughter,ochi
northwest,Northwest
counseling,dudum
receiver,onye nnata
ritual,nchuaja
insect,ahuhu
interrupt,ikusi
salmon,Salmọn
trading,kengeza ahia
magic,majiiki
superior,nke ka
combat,izo
stem,azuokokoosisi
surgeon,sogion
acceptable,keanabatara
physics,phrisk
rape,dina n'ike
counsel,ndumoodu
jeans,jeans
hunt,ichu nta
continuous,kensochi
log,loogu
echo,nkuzi mgbamejije
pill,mkpuru ogwu
excited,amaghi ka odi
sculpture,sikolpta
compound,kondoibe
integrate,iwekota onu
flour,fulawa
bitter,ilu
bare,ke oghere
slope,ndida
rent,ugwo
presidency,okwa onye ochihi ala
serving,ije ozi
subtle,sobje
greatly,nke ukwuu
bishop,bishopu
drinking,mmanya
acceptance,nnabata
pump,gbaputa mmiri
candy,kandii
evil,ihe ojoo
pleased,inwe obiuto
medal,medaal
beg,iyo
sponsor,sponso
ethical,umee
secondary,nsoje
slam,slam
export,ekspootu
experimental,nnwale
melt,gbazee
midnight,etiti abali
curve,oruro
integrity,eziokwu
entitle,obi
evident,putara
logic,uchenso
essence,odidi
exclude,ewepu
harsh,kedi ufu
closet,kaboodu
suburban,ibudoro anya
greet,ikele
interior,ime
corridor,korido
retail,reteelu
pitcher,pitcher
march,imaachi
snake,agwo
excuse,igbaghara
weakness,ikeogwugwu
pig,ezi
classical,nke okpu
estimated,e mere na eme atụmatụ
T-shirt,T-shirk
unemployment,enweghi akaoru
civilization,mmepe anya
fold,imeshi
reverse,laa azu
missing,itufu ihe
correlation,mgbagwoju
humanity,ndi mmadu
flash,ogbugbu
developer,onye nrụpụta
reliable,nke ntukwasiobi
excitement,amaghi ka odi
beef,anu ehi
Islam,Alakwuba
Roman,Repon
architecture,onye na-eme ihe omumu
occasional,mgbe ufodu
administrative,udi
elbow,ikiaka
deadly,egwu
Hispanic,Herpanic
allegation,ebubo
confuse,imesa anya
airplane,ugbo elu
monthly,lewa onwa
duck,ọbọgwụ
dose,dose
Korean,Kororo Korean
plead,rio mgbaghara
initiate,abamaba
lecture,ihe nkuzi
van,van
sixth,nke isii
bay,inyinya obara obara
mainstream,incestream
suburb,sobub
sandwich,sandwiich
trunk,okporo osisi
rumor,akukoasiri
implementation,mmejuputa
swallow,elo
motivate,imeka ihe mee ukporo
render,senge
longtime,Otee aka
trap,onya
restrict,igbochi
cloth,akwa
seemingly,ọ dị ka ọ bụ
legislative,ekike
effectiveness,di uru
enforce,ka edebe iwu
lens,enyoanya
inspector,onye inspekto
lend,ibinye ihe
plain,nke esighi ike nighota
fraud,mpo
companion,oyi
contend,igbansi
nail,ntu
array,mgwo ahia
strict,strikt
assemble,ikpokota
frankly,eziokwu
rat,oke
hay,ahihia kporo nku
hallway,ulo
cave,onuala
inevitable,agaranihu
southwest,Southwest
monster,monsta
unexpected,atughi anya
obstacle,ndachi
facilitate,ikwado
rip,rip
herb,ogwu
overwhelming,karịrị akarị
integration,mwekota
crystal,kristal
recession,nlaazu
written,nke edere
motive,motivi
flood,mmiri otutu
pen,pen
ownership,nke onye
nightmare,nro
inspection,nleta
supervisor,onyenlegideanya nwoke
consult,ijuta
arena,obom
diagnosis,nchoputa
possession,aku
forgive,igbaghara
consistently,ebibi anya
basement,okpuru ulo
drift,inakpo
drain,igbapu
prosecution,ikpe
maximum,nkacha
announcement,ogwugwa
warrior,onyeagha
prediction,amumatu
bacteria,bakteria
questionnaire,ajuju nchoputa
mud,uro
infrastructure,nsolata
hurry,me osooso
privilege,privileji
temple,isi
outdoor,pụta mpụga
suck,inu
and/or,na / ma ọ bụ
broadcast,ikwuputa
re,re
leap,itu ukwu
random,random
wrist,nkwojiaka
curtain,akwa mgbochi
pond,ndoro mmiri
domain,laukar
guilt,omuma ikpe
cattle,ehi
walking,Ije ije
playoff,egwuregwu onye mmeri
minimum,nke kacha nta
fiscal,akika
skirt,uwe
dump,idabe
hence,maka ya
database,nchekwa data
uncomfortable,enweghi anuri
execute,igbu
limb,aka
ideology,idiiche
tune,uri
continuing,gaa n'ihu
harm,ihe ojoo
railroad,okporo uzo ugboigwe
endure,idi ihe
radiation,radieshon
horn,mpi
chronic,oria alaghiala
peaceful,idi n'udo
innovation,kenkeputa
strain,stren
guitar,jita
replacement,ndochi
behave,ikpa agwa
administer,ichiachi
simultaneously,n'otu oge
dancer,ogba egwu
amendment,mmeghari
pad,ite
transmission,mmife
await,ichere
retired,Alatala ezumike nka
trigger,triga
spill,ikwafu
grateful,keobiuto
grace,ugwu
virtual,imeviloji
colony,ochichi ike
adoption,mkporo
indigenous,keamuma
closed,nke emechiri
convict,onye amara ikpe
towel,towel
modify,melata
particle,uzo
prize,onyinye nke onye gbara mbo
landing,nlodata
boost,ikwado
bat,usu
alarm,alaam
festival,mmeme
grip,ijido ihe
weird,werd
undermine,ileda anya
freshman,Newman
sweat,ajirija
outer,nkeazu
drunk,mmanya ogbugbu
separation,nweputa
traditionally,Dị ka ọdịnala
govern,ichi achu
southeast,sogestas
intelligent,keamamiihe
wherever,ebeobula
ballot,akwukwo vootu
rhetoric,enyotiric
convinced,nwee obi ike
driving,inyinya
vitamin,vitamin
enthusiasm,mmasi
accommodate,nabata
praise,towe
injure,mmeru ahu
wilderness,ozara
endless,ke enweghi nkwusi
respectively,dika ikosanye ugwu
uncertainty,ejighi ihe
chaos,ogbaaghara
mechanical,kemekaniiki
canvas,kwaaji
forty,iri ano
lobby,lobii
profound,kedimkpa
format,usoro
trait,treti
currency,ego
turkey,toro toro
reserve,idobere
beam,oku otiti
astronomer,astronono
corruption,mpu
contractor,onye nnabata
apologize,iyo ayiyo ncheghari
doctrine,nkuzi
genuine,keoma
thumb,isimkpisi aka
unity,ndinotu
compromise,mkwere
horrible,kediegwu
behavioral,omume
exclusive,sonso
scatter,ikposa
commonly,otutu
convey,ibuga
twist,ighikota
complexity,mgbagwojuihu
fork,fooku
disk,disk
relieve,dochie
suspicion,nrutuaka
health-care,nlekọta ahụike
residence,obi
shame,ihere
meaningful,kemputara
sidewalk,saidwok
Olympics,Eympic
technological,teknụzụ
signature,ntinyeaka
pleasant,nke obiuto
wow,Chaị
suspend,kwusi
rebel,onye nnupuisi nwoke
frozen,kefriza
spouse,nwunye
fluid,kemmiri mmiri
pension,penshion
resume,ibidokwa
theoretical,mmepeanya
sodium,sodium
promotion,ibuli mmadu ele
delicate,kenwere etu o di
forehead,ihuisi
rebuild,rugharia
bounce,ibiaghachi
electrical,elektro
hook,ngu
detective,onye tutuntu
traveler,ojenjem nwoke
click,Pịa
compensation,mmenyere
exit,Ụzọ ọpụpụ
attraction,mma
dedicate,inye n'aka
altogether,hadum
pickup,tụtụlite
carve,ipia
needle,agiga
belly,afo
scare,imenyeujo
portfolio,potafoliyo
shuttle,sechie
invisible,ahughi anya
timing,oge
engagement,engejimenti
ankle,isi ukwu
rescue,nzoputa
counterpart,counterpart
historically,Akụkọ gara aga
firmly,siri ike
mild,isi oma
rider,onye na-emere ya oji
doll,ihe egwuregwu umuaka
noon,ehihie
amid,amam
identical,myiri
precise,ime nkenke
anxious,keumemmapu
structural,maka oru
residential,ebebi onu
diagnose,ichoputa oria
carbohydrate,carbohydrate
liberty,nnwereonwe
poster,posta
theology,nkọmanya
nonprofit,na-abụghị
crawl,iri ari
oxygen,oksigin
handsome,mma
sum,nchikota
provided,inye
businessman,ozu ahia
promising,kwere nkwa
conscious,kenlezi anya
determination,mbo
donor,onyenye ego
hers,hers
pastor,ukochukwu
jazz,jazz
opera,ejije uneghune
acquisition,mnete
pit,olulu
hug,imaku
wildlife,ijuafo
punish,tara ahuhu
equity,ohiha
doorway,uzo ugbo
departure,opupu
elevator,mbugo
teenage,nke iri na itolu
guidance,ndumoodu
happiness,obi anuri
statue,akpuruakpu
pursuit,ochuchu
repair,ndozi
decent,ndimara
gym,mgbatị
clerk,ina-emezi
envelope,enveloopu
reporting,repotaiti
destination,abiaghi
fist,aka
endorse,ikwado
exploration,njem nchoputa
generous,kemmuo onyinye
bath,osisa ahu
thereby,n'akuku ebeahu
indicator,onye egosiputa
sunlight,ìhè
feedback,inye nzaghachi
spectrum,otutu
purple,populu
laser,laser
bold,kenwaramanya
reluctant,nke ekweghiekwe
starting,ibido
expertise,nka
practically,bụrụ
eating,iri oriri
hint,ndumodu
sharply,nke ikpa nke oma
parade,ijenlemanya
realm,reaneal
cancel,ikansulu
blend,igwakota
therapist,tapist
peel,bee
pizza,pizza
recipient,onye enyere ihe nwaanyi
hesitate,na-egbu oge
flip,mkpuru
accounting,ihuenyo
bias,bias
huh,huah
metaphor,ihe ọmụmụ Metaphor
candle,kanduru
judicial,ikpeje
entity,ihe diri
suffering,nhụjuanya
full-time,oge niile
lamp,lampu
garbage,ahihia
servant,ojeozi nwoke
regulatory,duvatory
diplomatic,diplomatik
elegant,gbacha gbacha
reception,ebennabata n'ulo ndiobia
vanish,igbafu
automatically,akpaghị aka
chin,agba
necessity,mkpa
confess,isa asa
racism,rasizim
starter,onyeonwu
banking,ulo nkita
casual,ukporo
gravity,nnukwu mpo
enroll,idebanye aha
diminish,idika
prevention,mgbochi
minimize,inapu
chop,iri
performer,onye ngosi nwoke
intent,keechiche
isolate,iwepu
inventory,egbeegwu
productive,nke nwere ike imeputa ihe ohuru
assembly,mkpokota
civic,nzu
silk,silk
magnitude,di ewuri
steep,nke nkpoda
hostage,njigide
collector,onye na-anakọta
popularity,ewuba
alien,nnabata
dynamic,di omimi
scary,egwu
equation,ohiha
angel,mmuo ozi
offering,inyeihe
rage,iweoku
photography,foto
toilet,ogweasu
disappointed,daa ihu
precious,dinobi
prohibit,gbochie
realistic,ezi okwu
hidden,zoo
tender,anuesighiike
gathering,nchikota
outstanding,nnukwu ugwo
stumble,ida
lonely,keinoso
automobile,ugboala
artificial,keakamere
dawn,iti
abstract,umi edemede
descend,rinye
silly,mgbede
tide,tide
shared,keekere
hopefully,na nchekwube
readily,ngwa ngwa
cooperate,imekota
revolutionary,nnonii
romance,ufere
hardware,utakiri
pillow,ncheisi
kit,agwa
continent,kontinenti
seal,siil
circuit,ogbo
ruling,isi
shortage,uko
annually,afo afo
lately,oge eteghi anya
scan,iyan
fool,oluku
deadline,keiwe
rear,nke azu
processing,mmeputa ihe
ranch,ebe ana-azu umuanu
coastal,iru mmiri
undertake,ibido
softly,juujuu
burning,na ere
verbal,nkwurunoonu
tribal,ebo
ridiculous,mkpari
automatic,kemachiini
diamond,dayamondu
credibility,odinkwenye
import,mbubata
sexually,enwe mmekọahụ
divine,mimi
sentiment,sentimenti
cart,moto inyinya
oversee,ozuteaka
o'clock,elekere
elder,otoro onye
pro,pro
inspiration,mkpatemmuo
Dutch,Afo
quantity,nke ukwu
trailer,treela
mate,di ma obu nwunye
Greek,Greek
genius,onye amamihe
monument,monumenti
bid,ikwe onu ahia
quest,mbido igba nju
sacrifice,ikwaja
invitation,oku
accuracy,kpomkwem
juror,onye juri
officially,nke no
broker,ore ahia
treasure,trezo
loyalty,umeala
talented,inwele
gasoline,peturuolu
stiff,stiif
output,mmeputa
nominee,ulo
extended,igbado
diabetes,oria shuga
slap,tieaka
toxic,na-egbu egbu
alleged,na-ekwu okwu
jaw,dish
grief,uju
mysterious,ihe nmgbagwoju anya
rocket,roket
donate,inye
inmate,rummeeti
tackle,tackele
dynamics,isi
bow,isi ugbo mmiri
ours,nke anyi
dignity,ugwu
carpet,kapeeti
parental,nne na nna
bubble,ufufo
buddy,keenche
barn,obaji
sword,mmaagha
seventh,nke asaa
glory,ekele
tightly,nke tijio
protective,ime nchegide
tuck,tuck
drum,igba
faint,ikubiume
queen,eze nwaanyi
dilemma,ntokiri
input,itinye ihe
specialize,puoiche
northeast,n'ebe ugwu ọwụwa anyanwụ
shallow,nke adghiomini
liability,ibu
sail,napu ugbo
merchant,ozii ahia
stadium,stadiom
improved,emeziwanye
bloody,ke mmebiobara
associated,kemkpo
withdrawal,iwepu
refrigerator,igwe ojuoyi
nest,akwu
thoroughly,nke oma
lane,uzo
ancestor,ndiichie
condemn,iju
steam,uzuoku
accent,ngwoolu
optimistic,inwe nkwenye
unite,ijikota
cage,onu
equip,itinye
shrimp,shrịmp
homeland,nna nta
rack,rake
costume,ekike
wolf,wulf
courtroom,kooturuum
statute,statitu
cartoon,katuunu
productivity,gbasara maka immeputa ihe ohuru
grin,ochi
symbolic,keodimara
bug,ebe
bless,igozi
aunt,anti
agriculture,oru ugbo
hostile,keiro
conceive,icheputa
combined,ikpokota
instantly,kama
bankruptcy,odida
vaccine,vasin
bonus,daashi
collaboration,mmekota
mixed,gwakọtara
opposed,njide
orbit,orbit
grasp,ighota
patience,ndidi
spite,spote
tropical,tropikal
voting,votu
patrol,patrol
willingness,okwukweeme
revelation,mkpughe
jewelry,goodu
Cuban,Cuban
haul,osisi
concede,ihaputa
wagon,wagon
spectacular,nke nkiri
ruin,ibibi
sheer,kwougbo
immune,keemekutaghi
reliability,ikwenye
ass,inyinya ibu
alongside,n'akuku
bush,ohia
exotic,impoteedi
fascinating,kendo akpari
clip,ikpuume
thigh,apata
bull,ebule
drawer,nsi
sheep,aturu
discourage,iji obi oyi
coordinator,onye nhazi aha
ideological,echicheulo
runner,onye oso
secular,egosiri
intimate,adika
empire,empaya
cab,cab
exam,leeanya
documentary,akwukwo oma
neutral,akwunyereghi nke obula
biology,bayoloji
flexible,kemmeghari ahu
progressive,iganiru
web,eriri ngugurude
conspiracy,njikota onu
casualty,onye nwere asidenti
republic,repoblik
execution,ogbugbu
terrific,kemmenyeujo
whale,wel
functional,onodu
instinct,mmuo
teammate,nwaanyi okokoro nwaanyi
aluminum,aluminom
whoever,onyeobula
ministry,ojekà ozi
verdict,mkpebi
instruct,ikuzi
skull,okpuroisi
self-esteem,Onwe-ya
cooperative,kemmekota
manipulate,igbogbu
bee,anu
practitioner,onye ndoro-ndoro
loop,voodu
edit,idekwa
whip,tie
puzzle,ihe egwuregwu
mushroom,ero
subsidy,enyemaka
boil,igboagbo
tragic,keodachi
mathematics,maasi
mechanic,mekaniiki
jar,jaa
earthquake,ala oma jijiji
pork,anụ ezi
creativity,ekemede
safely,n'udo
underlying,na-eme ihe
dessert,dezaati
sympathy,ebere
fisherman,ogbu azu
incredibly,nke atụ
isolation,nnọpụ iche
sock,soam
eleven,iri na otu
sexy,sexyo
entrepreneur,onye ọchụnta ego
syndrome,sindrom
bureau,rearuu
workplace,ebe oru
ambition,ebumnobi
touchdown,emetụ aka
utilize,ititiiti
breeze,ikuku
costly,kedara onu
ambitious,keebumnobi
Christianity,Uka kraisti
presumably,di nkpa
influential,kenwere ike
translation,ntughari
uncertain,ejighiaka
dissolve,igbari
statistical,staristal
gut,gootu
metropolitan,mepere emepe
rolling,rozagha
aesthetic,amuoma
spell,kpoo
insert,itinye
booth,uloiwu
helmet,helmeeti
waist,ukwu
expected,aturu anya
lion,agu
accomplishment,mmete
royal,nke eze
panic,ụjọ
crush,anu aru
actively,nkengwa oru
cliff,klifu
minimal,keoturu
cord,eriri
fortunately,looku
cocaine,kostiine
illusion,nro
anonymous,amaonye
tolerate,nweendidi
appreciation,ekele
commissioner,komia
flexibility,mgbanwe
instructional,Ntụziaka
scramble,scramble
casino,onye okwu gwo
tumor,tumo
decorate,icho mma
pulse,usu
equivalent,udinha
fixed,ofu
experienced,ahuputara
donation,onyinye
diary,dayari
sibling,nwanne
irony,irony
spoon,ngaji
midst,etiti
alley,uzo warawara
interact,ikwukorita uka
soap,ncha
cute,itunanya
rival,nke ndorodoro
short-term,obere oge
punch,punku
pin,pin
hockey,hocke achicha
passing,ngafe
persist,a dala mba
supplier,obunyeiheahia
known,nke maara
momentum,ngwa ngwa
purse,akpa nta
shed,shed
liquid,kemmiri
icon,imameempi
elephant,enyi
consequently,si Yana
legislature,ndi ome iwu
franchise,okwu oru
correctly,nke oma
mentally,uche
foster,onye oru ugbo
bicycle,igwe
encouraging,gbaa
cheat,igwu wayo
heal,igwo
fever,ahụ ọkụ
filter,iyo
rabbit,oke oyibo
coin,mkpuru ego
exploit,ufufori
accessible,keuzo
organism,okporo
sensation,sensashion
partially,keirecha
upstairs,n'elu steps
dried,kpọnwụrụ
conservation,ndoko
shove,gwuo
backyard,azu ulo
charter,irenti
stove,stovu
consent,ikwenye
comprise,kenduwe
reminder,ncheta
alike,myiri
placement,idobata
dough,mgwakota agwa
grandchild,nwa anya
dam,daam
reportedly,mara
well-known,A maara nke ọma
surrounding,gbaragburugburu
ecological,ike egwu
outfit,epuli
unprecedented,na-enweghị atụ
columnist,Kọsistii Mem
workout,rụpụta
preliminary,nke mbido
patent,patenti
shy,nke isoihere
trash,traash
disabled,orusi
gross,gross
damn,Ụchụ
hormone,homonụ
texture,udidi
pencil,pensul
frontier,n'ihu
spray,spree
disclose,ikwupute
custody,mkporo
banker,onye oru banki
beast,anu ohia
interfere,itinye onu
oak,akpu
eighth,keasato
notebook,akwukwo eji ede ihe
outline,ndeputa
attendance,ogiga
speculation,ntule
uncover,ikpu idekpu
behalf,isi
innovative,otutu
shark,akụm
mill,ifuchapu ihe
installation,echichi
stimulate,ikpalite
tag,mkpano
vertical,vetikal
swimming,iku mmiri
fleet,nsoro
catalog,kataloogu
outsider,eyịpher
desperately,kemmesi anya
stance,akuko oru
sensitivity,uche
someday,otu otu
instant,ozugbonje
debut,mpout
proclaim,kwuputa
worldwide,uwa
hike,ibugo onu ihe
required,achọrọ
confrontation,mbuso agha
colorful,keagwa
constitution,akwukwo iwu
trainer,onyenkuzi nwoke
Thanksgiving,Ekele
scent,senti
stack,stak
eyebrow,nkuanya
sack,nchupu
cease,ikwusi
inherit,ikete oke
tray,tree
pioneer,paionia
organizational,nhazi
textbook,akwukwo omumu
uh,uh
nasty,mkpari
shrink,mekotaonwe
emerging,putara
dot,doto
wheat,wiit
fierce,keegwu
envision,anya
rational,ogbanuche
kingdom,alaeze
aisle,wara wara
weaken,imeda
protocol,promocol
exclusively,onhesionly
vocal,olu
marketplace,ahia
openly,n'oha
unfair,kemmegbu
terrain,teren
deploy,idokwa
risky,nke sirike
pasta,ukochukwu
genre,oji
distract,imesa anya
merit,merit
planner,placener
depressed,mmegide
chunk,mmaji
closest,kacha nso
discount,mmezi
ladder,lada
jungle,nnukwu ohia
migration,mgbokolo
breathing,iku ume
invade,iluso agha
hurricane,horikeenu
retailer,onye na-ere ahia
classify,ikewasi
coup,mkwato ochichi
ambassador,onye nnchite anya
density,keuju
supportive,na-akwado
curiosity,mmasi
